Frequency,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily
1946-04-27,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
1946-04-28,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
1946-04-29,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-04-30,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-05-01,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,,,,,,
1946-05-02,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-05-03,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-05-04,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
1946-05-05,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
1946-05-06,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-05-07,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-05-08,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-05-09,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-05-10,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-05-11,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
1946-05-12,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
1946-05-13,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-05-14,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-05-15,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-05-16,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-05-17,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-05-18,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
1946-05-19,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
1946-05-20,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-05-21,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-05-22,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-05-23,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-05-24,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-05-25,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
1946-05-26,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
1946-05-27,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-05-28,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-05-29,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-05-30,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-05-31,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-06-01,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
1946-06-02,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
1946-06-03,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-06-04,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-06-05,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-06-06,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-06-07,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-06-08,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
1946-06-09,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
1946-06-10,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-06-11,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-06-12,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-06-13,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-06-14,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-06-15,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
1946-06-16,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
1946-06-17,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-06-18,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-06-19,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-06-20,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-06-21,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-06-22,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
1946-06-23,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
1946-06-24,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-06-25,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-06-26,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-06-27,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-06-28,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-06-29,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
1946-06-30,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
1946-07-01,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-07-02,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-07-03,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-07-04,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-07-05,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-07-06,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
1946-07-07,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
1946-07-08,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-07-09,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-07-10,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-07-11,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-07-12,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-07-13,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
1946-07-14,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
1946-07-15,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-07-16,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-07-17,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-07-18,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-07-19,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-07-20,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
1946-07-21,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
1946-07-22,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-07-23,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-07-24,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-07-25,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-07-26,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-07-27,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
1946-07-28,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
1946-07-29,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-07-30,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-07-31,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-08-01,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-08-02,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-08-03,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
1946-08-04,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
1946-08-05,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-08-06,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-08-07,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-08-08,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-08-09,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-08-10,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
1946-08-11,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
1946-08-12,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-08-13,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-08-14,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-08-15,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-08-16,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-08-17,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
1946-08-18,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
1946-08-19,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-08-20,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-08-21,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-08-22,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-08-23,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-08-24,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
1946-08-25,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
1946-08-26,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-08-27,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-08-28,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-08-29,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-08-30,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-08-31,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
1946-09-01,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
1946-09-02,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-09-03,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-09-04,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-09-05,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-09-06,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-09-07,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
1946-09-08,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
1946-09-09,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-09-10,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-09-11,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-09-12,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-09-13,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-09-14,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
1946-09-15,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
1946-09-16,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-09-17,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-09-18,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-09-19,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-09-20,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-09-21,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
1946-09-22,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
1946-09-23,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-09-24,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-09-25,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-09-26,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-09-27,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-09-28,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
1946-09-29,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
1946-09-30,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-10-01,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-10-02,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-10-03,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-10-04,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-10-05,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
1946-10-06,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
1946-10-07,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-10-08,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-10-09,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-10-10,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-10-11,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
1946-10-12,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
1946-10-13,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
1946-10-14,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
1946-10-15,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
1946-10-16,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
1946-10-17,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
1946-10-18,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
1946-10-19,,,,,,,,,,3.5,2,,,,,,,,3.65,,,,,,,,,,,,,,,,,,,
1946-10-20,,,,,,,,,,3.5,2,,,,,,,,3.65,,,,,,,,,,,,,,,,,,,
1946-10-21,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
1946-10-22,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
1946-10-23,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
1946-10-24,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
1946-10-25,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
1946-10-26,,,,,,,,,,3.5,2,,,,,,,,3.65,,,,,,,,,,,,,,,,,,,
1946-10-27,,,,,,,,,,3.5,2,,,,,,,,3.65,,,,,,,,,,,,,,,,,,,
1946-10-28,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
1946-10-29,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
1946-10-30,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
1946-10-31,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
1946-11-01,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
1946-11-02,,,,,,,,,,3.5,2,,,,,,,,3.65,,,,,,,,,,,,,,,,,,,
1946-11-03,,,,,,,,,,3.5,2,,,,,,,,3.65,,,,,,,,,,,,,,,,,,,
1946-11-04,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
1946-11-05,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
1946-11-06,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
1946-11-07,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
1946-11-08,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
1946-11-09,,,,,,,,,,3.5,2,,,,,,,,3.65,,,,,,,,,,,,,,,,,,,
1946-11-10,,,,,,,,,,3.5,2,,,,,,,,3.65,,,,,,,,,,,,,,,,,,,
1946-11-11,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
1946-11-12,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
1946-11-13,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
1946-11-14,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
1946-11-15,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
1946-11-16,,,,,,,,,,3.5,2,,,,,,,,3.65,,,,,,,,,,,,,,,,,,,
1946-11-17,,,,,,,,,,3.5,2,,,,,,,,3.65,,,,,,,,,,,,,,,,,,,
1946-11-18,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
1946-11-19,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
1946-11-20,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
1946-11-21,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
1946-11-22,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
1946-11-23,,,,,,,,,,3.5,2,,,,,,,,3.65,,,,,,,,,,,,,,,,,,,
1946-11-24,,,,,,,,,,3.5,2,,,,,,,,3.65,,,,,,,,,,,,,,,,,,,
1946-11-25,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
1946-11-26,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
1946-11-27,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
1946-11-28,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
1946-11-29,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
1946-11-30,,,,,,,,,,3.5,2,,,,,,,,3.65,,,,,,,,,,,,,,,,,,,
1946-12-01,,,,,,,,,,3.5,2,,,,,,,,3.65,,,,,,,,,,,,,,,,,,,
1946-12-02,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
1946-12-03,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
1946-12-04,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
1946-12-05,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
1946-12-06,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
1946-12-07,,,,,,,,,,3.5,2,,,,,,,,3.65,,,,,,,,,,,,,,,,,,,
1946-12-08,,,,,,,,,,3.5,2,,,,,,,,3.65,,,,,,,,,,,,,,,,,,,
1946-12-09,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
1946-12-10,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
1946-12-11,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
1946-12-12,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
1946-12-13,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
1946-12-14,,,,,,,,,,3.5,2,,,,,,,,3.65,,,,,,,,,,,,,,,,,,,
1946-12-15,,,,,,,,,,3.5,2,,,,,,,,3.65,,,,,,,,,,,,,,,,,,,
1946-12-16,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
1946-12-17,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
1946-12-18,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
1946-12-19,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
1946-12-20,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
1946-12-21,,,,,,,,,,3.5,2,,,,,,,,3.65,,,,,,,,,,,,,,,,,,,
1946-12-22,,,,,,,,,,3.5,2,,,,,,,,3.65,,,,,,,,,,,,,,,,,,,
1946-12-23,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
